Word;Seq_num;Word Count;Word Proportion;Average Proportion;Std Dev;Doc Count;Negative;Positive;Uncertainty;Litigious;Strong_Modal;Weak_Modal;Constraining;Complexity;Syllables;Source
AARDVARK;1;755;2.9550702197134308e-08;1.945420918057778e-08;4.078069304633236e-06;140;0;0;0;0;0;0;0;0;2;12of12inf
AARDVARKS;2;3;1.17420008730335e-10;8.06001867717715e-12;8.919010685912077e-09;1;0;0;0;0;0;0;0;0;2;12of12inf
ABACI;3;9;3.52260026191005e-10;1.0893427996920045e-10;5.1053587402415585e-08;7;0;0;0;0;0;0;0;0;3;12of12inf
ABACK;4;29;1.1350600843932383e-09;6.197922320672241e-10;1.5392792629133626e-07;28;0;0;0;0;0;0;0;0;2;12of12inf
ABACUS;5;9620;3.765268279952742e-07;3.8252606994663656e-07;3.421835569699706e-05;1295;0;0;0;0;0;0;0;0;3;12of12inf
ABACUSES;6;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;4;12of12inf
ABAFT;7;4;1.5656001164044664e-10;2.1447871724133828e-11;2.3733666727012808e-08;1;0;0;0;0;0;0;0;0;2;12of12inf
ABALONE;8;149;5.8318604336066376e-09;4.729504184083218e-09;1.0318592377096316e-06;52;0;0;0;0;0;0;0;0;4;12of12inf
ABALONES;9;1;3.914000291011166e-11;7.715205722589048e-11;8.537449482422497e-08;1;0;0;0;0;0;0;0;0;4;12of12inf
ABANDON;10;154158;6.033744568616994e-06;4.8240040165951805e-06;3.2612711814946056e-05;76324;2009;0;0;0;0;0;0;0;3;12of12inf
ABANDONED;11;261781;1.0246109101811942e-05;1.0397077668111348e-05;9.077508998172851e-05;115130;2009;0;0;0;0;0;0;0;3;12of12inf
ABANDONING;12;22497;8.805326454687821e-07;8.271178376324521e-07;1.1986601851972985e-05;14061;2009;0;0;0;0;0;0;0;4;12of12inf
ABANDONMENT;13;315640;1.2354150518547645e-05;1.2114806109495022e-05;8.004858351752568e-05;105107;2009;0;0;0;0;0;0;0;4;12of12inf
ABANDONMENTS;14;17224;6.741474101237633e-07;9.126801122087696e-07;2.2337572423294606e-05;7205;2009;0;0;0;0;0;0;0;4;12of12inf
ABANDONS;15;7965;3.117501231790394e-07;1.6340174851449396e-07;3.5506612210581454e-06;5708;2009;0;0;0;0;0;0;0;3;12of12inf
ABASE;16;49;1.9178601425954715e-09;2.351946156506321e-09;5.872476832768332e-07;43;0;0;0;0;0;0;0;0;2;12of12inf
ABASED;17;75;2.9355002182583747e-09;6.88125671516675e-09;1.7611791086181566e-06;62;0;0;0;0;0;0;0;0;2;12of12inf
ABASEMENT;18;15;5.87100043651675e-10;2.431771525018017e-10;1.0062488359340301e-07;11;0;0;0;0;0;0;0;0;3;12of12inf
ABASEMENTS;19;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;3;12of12inf
ABASES;20;3;1.17420008730335e-10;1.2890051617869898e-10;1.0054102999846231e-07;3;0;0;0;0;0;0;0;0;3;12of12inf
ABASH;21;5;1.957000145505583e-10;1.0356070257785966e-10;5.21573844603919e-08;5;0;0;0;0;0;0;0;0;2;12of12inf
ABASHED;22;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;2;12of12inf
ABASHEDLY;23;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;4;12of12inf
ABASHES;24;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;3;12of12inf
ABASHING;25;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;3;12of12inf
ABASHMENT;26;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;3;12of12inf
ABASHMENTS;27;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;3;12of12inf
ABASING;28;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;3;12of12inf
ABATE;29;34295;1.3423063998022796e-06;8.767741885025769e-07;1.1773720257255121e-05;19749;0;0;0;0;0;0;0;0;2;12of12inf
ABATED;30;40824;1.5978514788023985e-06;9.25513061617978e-07;1.1866740391569954e-05;18933;0;0;0;0;0;0;0;0;3;12of12inf
ABATEMENT;31;159420;6.239699263930002e-06;3.498637336193735e-06;3.815454312294546e-05;48174;0;0;0;0;0;0;0;0;3;12of12inf
ABATEMENTS;32;24659;9.651533317604436e-07;6.668316997021978e-07;1.4114847610326793e-05;11465;0;0;0;0;0;0;0;0;3;12of12inf
ABATES;33;1017;3.980538295958356e-08;2.8142990296882655e-08;1.8171548579124326e-06;720;0;0;0;0;0;0;0;0;2;12of12inf
ABATING;34;2564;1.0035496746152631e-07;6.69086789028991e-08;2.6329666378269896e-06;1855;0;0;0;0;0;0;0;0;3;12of12inf
ABATTOIR;35;199;7.788860579112222e-09;5.0127905229382885e-09;7.278581887335947e-07;78;0;0;0;0;0;0;0;0;3;12of12inf
ABATTOIRS;36;157;6.144980456887531e-09;4.1324444325187525e-09;9.64475270675849e-07;50;0;0;0;0;0;0;0;0;3;12of12inf
ABBE;37;608;2.3797121769347893e-08;2.5654250499018075e-08;4.5675197329541935e-06;247;0;0;0;0;0;0;0;0;1;12of12inf
ABBES;38;11;4.305400320112283e-10;1.76256704063517e-10;1.1339311549900136e-07;5;0;0;0;0;0;0;0;0;2;12of12inf
ABBESS;39;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;2;12of12inf
ABBESSES;40;0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;3;12of12inf
ABBEY;41;5962;2.3335269735008573e-07;2.4667244761497256e-07;2.285310811726136e-05;1800;0;0;0;0;0;0;0;0;2;12of12inf
ABBEYS;42;3;1.17420008730335e-10;1.120858907410577e-10;9.207605262231262e-08;3;0;0;0;0;0;0;0;0;2;12of12inf
ABBOT;43;2130;8.336820619853784e-08;8.882343440749984e-08;8.319034317035853e-06;925;0;0;0;0;0;0;0;0;2;12of12inf
ABBOTS;44;27;1.0567800785730149e-09;6.583743622348197e-10;1.9543842870905472e-07;23;0;0;0;0;0;0;0;0;2;12of12inf
ABBREVIATE;45;959;3.753526279079709e-08;4.883318912455828e-08;4.452894376144311e-06;399;0;0;0;0;0;0;0;0;4;12of12inf
ABBREVIATED;46;47392;1.854923017916012e-06;1.4161016179393277e-06;2.0100359590655267e-05;23879;0;0;0;0;0;0;0;0;5;12of12inf
