cik;name;ticker;found
0000000020;K TRON INTERNATIONAL INC;;False
0000001750;AAR CORP;AIR;True
0000001800;ABBOTT LABORATORIES;ABT;True
0000001853;"MotivNation, Inc.";;False
0000001923;"SERVIDYNE, INC.";;True
0000001961;WORLDS INC;;False
0000002034;ACETO CORP;;True
0000002098;ACME UNITED CORP;ACU;True
0000002178;"ADAMS RESOURCES & ENERGY, INC.";;True
0000002186;BK Technologies Corp;BKTI;True
0000002488;ADVANCED MICRO DEVICES INC;AMD;True
0000002491;"BALLY TECHNOLOGIES, INC.";;True
0000002601;AEROFLEX INC;;False
0000002969;"Air Products & Chemicals, Inc.";APD;True
0000003116;AKORN INC;;True
0000003146;SPIRE ALABAMA INC;;False
0000003153;ALABAMA POWER CO;;False
0000003197;CECO ENVIRONMENTAL CORP;CECO;True
0000003202;ALASKA AIRLINES INC;;False
0000003453;"Matson, Inc.";MATX;True
0000003499;ALEXANDERS INC;ALX;True
0000003545;"ALICO, INC.";ALCO;True
0000003570;"Cheniere Energy, Inc.";LNG;True
0000003673;"ALLEGHENY ENERGY, INC";;True
0000003906;ALLIED CAPITAL CORP;;False
0000003952;ALLIED DEFENSE GROUP INC;;True
0000003982;Allis Chalmers Energy Inc.;;True
0000004127;"SKYWORKS SOLUTIONS, INC.";SWKS;True
0000004187;INDUSTRIAL SERVICES OF AMERICA INC;;True
0000004281;Howmet Aerospace Inc.;HWM;True
0000004447;HESS CORP;;True
0000004457;U-Haul Holding Co /NV/;UHAL-B;True
0000004515;"AMERICAN AIRLINES, INC.";;False
0000004611;AMERICAN BILTRITE INC;;True
0000004811;AMERICAN CONSUMERS INC;;False
0000004828;AMERICAN CRYSTAL SUGAR CO /MN/;;False
0000004904;AMERICAN ELECTRIC POWER CO INC;AEP;True
0000004962;AMERICAN EXPRESS CO;AXP;True
0000004969;AMERICAN EXPRESS CREDIT CORP;;False
0000004977;AFLAC INC;AFL;True
0000005117;EMTEC INC/NJ;;False
0000005133;AMERICAN GREETINGS CORP;;True
0000005272;"AMERICAN INTERNATIONAL GROUP, INC.";AIG;True
0000005513;Unum Group;UNMA;True
0000005656;AMERICAN INTERNATIONAL VENTURES INC /DE/;;False
0000005768;"AMERICAN SCIENCE & ENGINEERING, INC.";;True
0000005981;AMERICAN VANGUARD CORP;AVD;True
0000006176;AMPCO PITTSBURGH CORP;AP;True
0000006201;American Airlines Group Inc.;AAL;True
0000006207;AMREP CORP.;AXR;True
0000006281;ANALOG DEVICES INC;ADI;True
0000006284;ANALOGIC CORP;;True
0000006292;ANALYSTS INTERNATIONAL CORP;;True
0000006314;ANAREN INC;;True
0000006494;ANDREA ELECTRONICS CORP;;False
0000006732;"NAC GLOBAL TECHNOLOGIES, INC.";;False
0000006769;APACHE CORP;;False
0000006814;COMFORCE CORP;;True
0000006845;"APOGEE ENTERPRISES, INC.";APOG;True
0000006879;APPALACHIAN POWER CO;;False
