cik;name;ticker;cikmatch;delisted
0000000020;K TRON INTERNATIONAL INC;;False;True
0000001750;AAR CORP;AIR;False;False
0000001800;ABBOTT LABORATORIES;ABT;False;False
0000001853;"MotivNation, Inc.";;True;False
0000001923;"SERVIDYNE, INC.";;False;True
0000001961;WORLDS INC;;True;False
0000002034;ACETO CORP;;False;True
0000002098;ACME UNITED CORP;ACU;False;False
0000002178;"ADAMS RESOURCES & ENERGY, INC.";;False;False
0000002186;BK Technologies Corp;BKTI;False;False
0000002488;ADVANCED MICRO DEVICES INC;AMD;False;False
0000002491;"BALLY TECHNOLOGIES, INC.";;False;True
0000002601;AEROFLEX INC;;True;False
0000002969;"Air Products & Chemicals, Inc.";APD;False;False
0000003116;AKORN INC;;False;True
0000003146;SPIRE ALABAMA INC;;True;False
0000003153;ALABAMA POWER CO;;True;False
0000003197;CECO ENVIRONMENTAL CORP;CECO;False;False
0000003202;ALASKA AIRLINES INC;;True;False
0000003453;"Matson, Inc.";MATX;False;False
0000003499;ALEXANDERS INC;ALX;False;False
0000003545;"ALICO, INC.";ALCO;False;False
0000003570;"Cheniere Energy, Inc.";LNG;False;False
0000003673;"ALLEGHENY ENERGY, INC";;False;True
0000003906;ALLIED CAPITAL CORP;;False;True
0000003952;ALLIED DEFENSE GROUP INC;;False;True
0000003982;Allis Chalmers Energy Inc.;;False;True
0000004127;"SKYWORKS SOLUTIONS, INC.";SWKS;False;False
0000004187;INDUSTRIAL SERVICES OF AMERICA INC;;False;True
0000004281;Howmet Aerospace Inc.;HWM;False;False
0000004447;HESS CORP;;False;False
0000004457;U-Haul Holding Co /NV/;UHAL-B;False;False
0000004515;"AMERICAN AIRLINES, INC.";;True;False
0000004611;AMERICAN BILTRITE INC;;False;True
0000004811;AMERICAN CONSUMERS INC;;True;False
0000004828;AMERICAN CRYSTAL SUGAR CO /MN/;;True;False
0000004904;AMERICAN ELECTRIC POWER CO INC;AEP;False;False
0000004962;AMERICAN EXPRESS CO;AXP;False;False
0000004969;AMERICAN EXPRESS CREDIT CORP;;True;False
0000004977;AFLAC INC;AFL;False;False
0000005117;EMTEC INC/NJ;;True;False
0000005133;AMERICAN GREETINGS CORP;;False;True
0000005272;"AMERICAN INTERNATIONAL GROUP, INC.";AIG;False;False
0000005513;Unum Group;UNMA;False;False
0000005656;AMERICAN INTERNATIONAL VENTURES INC /DE/;;True;False
0000005768;"AMERICAN SCIENCE & ENGINEERING, INC.";;False;True
0000005981;AMERICAN VANGUARD CORP;AVD;False;False
0000006176;AMPCO PITTSBURGH CORP;AP;False;False
0000006201;American Airlines Group Inc.;AAL;False;False
0000006207;AMREP CORP.;AXR;False;False
0000006281;ANALOG DEVICES INC;ADI;False;False
0000006284;ANALOGIC CORP;;False;True
0000006292;ANALYSTS INTERNATIONAL CORP;;False;True
0000006314;ANAREN INC;;False;True
0000006494;ANDREA ELECTRONICS CORP;;True;False
0000006732;"NAC GLOBAL TECHNOLOGIES, INC.";;True;False
0000006769;APACHE CORP;;True;False
0000006814;COMFORCE CORP;;False;True
0000006845;"APOGEE ENTERPRISES, INC.";APOG;False;False
0000006879;APPALACHIAN POWER CO;;True;False
0000006885;STAGE STORES INC;;False;True
0000006951;APPLIED MATERIALS INC /DE;AMAT;False;False
0000006955;ENERPAC TOOL GROUP CORP;EPAC;False;False
0000007032;ARAMARK CORP;;True;False
0000007039;TRECORA RESOURCES;;False;True
0000007084;Archer-Daniels-Midland Co;ADM;False;False
0000007286;ARIZONA PUBLIC SERVICE CO;;True;False
0000007323;"ENTERGY ARKANSAS, LLC";EAI;True;False
0000007332;SOUTHWESTERN ENERGY CO;;False;False
0000007431;ARMSTRONG WORLD INDUSTRIES INC;AWI;False;False
0000007536;"ARROW ELECTRONICS, INC";ARW;False;False
0000007623;ARTS WAY MANUFACTURING CO INC;ARTW;False;False
0000007789;ASSOCIATED BANC-CORP;ASBA;False;False
0000007951;ROBERTSON GLOBAL HEALTH SOLUTIONS CORP;;True;False
0000008063;ASTRONICS CORP;ATROB;False;False
0000008146;"AstroNova, Inc.";ALOT;False;False
0000008177;ATLANTIC AMERICAN CORP;AAME;False;False
0000008192;ATLANTIC CITY ELECTRIC CO;;True;False
0000008328;"Applied Minerals, Inc.";;True;False
0000008411;ATWOOD OCEANICS INC;;False;True
0000008497;ASSURANCEAMERICA CORP;;True;False
0000008504;AgEagle Aerial Systems Inc.;UAVS;False;False
0000008670;AUTOMATIC DATA PROCESSING INC;ADP;False;False
0000008818;Avery Dennison Corp;AVY;False;False
0000008855;AMERICAN LOCKER GROUP INC;;True;False
0000008858;AVNET INC;AVT;False;False
0000008868;AVON PRODUCTS INC;;False;True
0000008947;AZZ INC;AZZ;False;False
0000009092;BADGER METER INC;BMI;False;False
0000009235;BKF CAPITAL GROUP INC;;True;False
0000009263;MICHAEL BAKER CORP;;False;True
0000009326;BALCHEM CORP;BCPC;False;False
0000009342;BALDOR ELECTRIC CO;;False;True
0000009346;Protective Insurance Corp;;False;True
0000009389;BALL Corp;BALL;False;False
0000009466;BALTIMORE GAS & ELECTRIC CO;;True;False
0000009631;BANK OF NOVA SCOTIA;BNS;False;False
0000009892;BARD C R INC /NJ/;;False;True
0000009984;BARNES GROUP INC;;False;False
0000010048;BARNWELL INDUSTRIES INC;BRN;False;False
0000010254;EARTHSTONE ENERGY INC;;False;True
0000010329;BASSETT FURNITURE INDUSTRIES INC;BSET;False;False
0000010456;BAXTER INTERNATIONAL INC;BAX;False;False
0000010795;BECTON DICKINSON & CO;BDX;False;False
0000011199;BEMIS CO INC;;False;True
0000011544;BERKLEY W R CORP;WRB-PH;False;False
0000012040;FLANIGANS ENTERPRISES INC;BDL;False;False
0000012208;"BIO-RAD LABORATORIES, INC.";BIO-B;False;False
0000012239;Dominari Holdings Inc.;DOMH;False;False
0000012355;BLACK & DECKER CORP;;False;True
0000012400;BLACK HILLS POWER INC;;True;False
0000012659;H&R BLOCK INC;HRB;False;False
0000012779;BLUE RIDGE REAL ESTATE CO;;True;False
0000012927;BOEING CO;BA-PA;False;False
0000012978;OFFICEMAX INC;;False;True
0000013033;Comjoyful International Co;;True;False
0000013055;LEFT BEHIND GAMES INC.;;True;False
0000013156;"Galaxy Gaming, Inc.";GLXZ;True;False
0000013239;HEXION INC.;;True;False
0000013372;NSTAR ELECTRIC CO;NSARP;True;False
0000013547;ENTRX CORP;;True;False
0000013573;BOWL AMERICA INC;;False;True
0000013610;BOWNE & CO INC;;False;True
0000014177;BRIDGFORD FOODS CORP;BRID;False;False
0000014195;BRIGGS & STRATTON CORP;;False;True
0000014272;BRISTOL MYERS SQUIBB CO;CELG-RI;False;False
0000014280;"MSGI SECURITY SOLUTIONS, INC";;True;False
0000014693;BROWN FORMAN CORP;BF-B;False;False
0000014707;CALERES INC;CAL;False;False
0000014846;BRT Apartments Corp.;BRT;False;False
0000014930;BRUNSWICK CORP;BC-PC;False;False
0000015288;"BULLION MONARCH MINING, INC.";;True;False
0000015357;CHASE GENERAL CORP;;True;False
0000015393;BUREAU OF NATIONAL AFFAIRS INC;;True;False
0000015511;BNSF RAILWAY CO;;True;False
0000015615;MASTEC INC;MTZ;False;False
0000015847;BUTLER NATIONAL CORP;BUKS;True;False
0000016040;CABOT CORP;CBT;False;False
0000016058;CACI INTERNATIONAL INC /DE/;CACI;False;False
0000016099;LUB LIQUIDATING TRUST;;False;True
0000016104;CAGLES INC;;False;True
0000016160;CAL-MAINE FOODS INC;CALM;False;False
0000016614;CAMCO FINANCIAL CORP;;False;True
0000016732;CAMPBELL SOUP CO;CPB;False;False
0000016873;NEXEN INC;;False;True
0000016875;CANADIAN PACIFIC RAILWAY LTD/CN;CP;False;False
0000016918;"CONSTELLATION BRANDS, INC.";STZ;False;True
0000017313;CAPITAL SOUTHWEST CORP;CSWC;False;False
0000017485;"LIBERATOR MEDICAL HOLDINGS, INC.";;False;True
0000017797;"DUKE ENERGY PROGRESS, LLC.";;True;False
0000017843;CARPENTER TECHNOLOGY CORP;CRS;False;False
0000017927;CARROLS CORP;;True;False
0000018061;CASCADE CORP;;False;True
0000018169;DOLE FOOD CO INC;;False;True
0000018172;A. M. Castle & Co.;;False;True
0000018230;CATERPILLAR INC;CAT;False;False
0000018255;CATO CORP;CATO;False;False
0000018349;SYNOVUS FINANCIAL CORP;;False;False
0000018396;CDI CORP;;False;True
0000018498;GENESCO INC;GCO;False;False
0000018647;CENTRAL HUDSON GAS & ELECTRIC CORP;;True;False
0000018651;CENTRAL ILLINOIS LIGHT CO;;True;False
0000018654;Ameren Illinois Co;AILIP;True;False
0000018672;CLECO POWER LLC;;True;False
0000018808;CENTRAL VERMONT PUBLIC SERVICE CORP;;False;True
0000018886;WOLVERINE HOLDING CORP.;;True;False
0000018926;"Lumen Technologies, Inc.";LUMN;False;False
0000018937;CERADYNE INC;;False;True
0000019002;"Cybrdi, Inc.";;True;False
0000019149;CHAMPION INDUSTRIES INC;;False;True
0000019353;CHARMING SHOPPES INC;;False;True
0000019411;MAGELLAN HEALTH INC;;False;True
0000019446;CANTEL MEDICAL CORP;;False;True
0000019520;CHATTEM INC;;False;True
0000019584;CHEMED CORP;CHE;False;False
0000019612;TCF FINANCIAL CORP;;False;True
0000019617;JPMORGAN CHASE & CO;VYLD;False;False
0000019745;CHESAPEAKE UTILITIES CORP;CPK;False;False
0000019871;CHICAGO RIVET & MACHINE CO;CVR;False;False
0000020171;CHUBB CORP;;False;True
0000020212;Churchill Downs Inc;CHDN;False;False
0000020232;ChyronHego Corp;;False;True
0000020286;CINCINNATI FINANCIAL CORP;CINF;False;False
0000020290;"Duke Energy Ohio, Inc.";;True;False
0000020520;"Frontier Communications Parent, Inc.";;False;True
0000020629;CSS INDUSTRIES INC;;False;True
0000020639;AmBase Corp;ABCP;True;False
0000020740;CLARCOR INC.;;False;True
