Company Name,CIK,Form Type,Date Filed,Filename
SANDISK CORP,0001000180,10-K,2015-02-10,edgar/data/1000180/0001000180-15-000013.txt
MEDALLION FINANCIAL CORP,0001000209,10-K,2015-03-11,edgar/data/1000209/0001193125-15-087622.txt
HENRY SCHEIN INC,0001000228,10-K,2015-02-11,edgar/data/1000228/0001000228-15-000007.txt
CORE LABORATORIES N V,0001000229,10-K,2015-02-17,edgar/data/1000229/0001000229-15-000035.txt
KENTUCKY BANCSHARES INC /KY/,0001000232,10-K,2015-03-20,edgar/data/1000232/0001104659-15-021260.txt
IMPAC MORTGAGE HOLDINGS INC,0001000298,10-K,2015-03-25,edgar/data/1000298/0001047469-15-002665.txt
SCHWEITZER MAUDUIT INTERNATIONAL INC,0001000623,10-K,2015-02-27,edgar/data/1000623/0001000623-15-000028.txt
BLONDER TONGUE LABORATORIES INC,0001000683,10-K,2015-03-31,edgar/data/1000683/0001144204-15-019829.txt
NOVAVAX INC,0001000694,10-K,2015-02-27,edgar/data/1000694/0001144204-15-012379.txt
WATERS CORP /DE/,0001000697,10-K,2015-02-27,edgar/data/1000697/0001193125-15-067900.txt
"INSPERITY, INC.",0001000753,10-K,2015-02-10,edgar/data/1000753/0001000753-15-000008.txt
DISH Network CORP,0001001082,10-K,2015-02-23,edgar/data/1001082/0001104659-15-012777.txt
BROADWAY FINANCIAL CORP \DE\,0001001171,10-K,2015-03-27,edgar/data/1001171/0001047469-15-002892.txt
TUCSON ELECTRIC POWER CO,0000100122,10-K,2015-02-19,edgar/data/100122/0000100122-15-000003.txt
SANGAMO BIOSCIENCES INC,0001001233,10-K,2015-02-25,edgar/data/1001233/0001564590-15-000950.txt
LEXMARK INTERNATIONAL INC /KY/,0001001288,10-K,2015-03-02,edgar/data/1001288/0001001288-15-000013.txt
"TG THERAPEUTICS, INC.",0001001316,10-K,2015-03-16,edgar/data/1001316/0001144204-15-016369.txt
NORTHWEST PIPE CO,0001001385,10-K,2015-03-16,edgar/data/1001385/0001193125-15-093946.txt
BLOUNT INTERNATIONAL INC,0001001606,10-K,2015-03-16,edgar/data/1001606/0001001606-15-000007.txt
TENGASCO INC,0001001614,10-K,2015-03-30,edgar/data/1001614/0001140361-15-013485.txt
SOUTHERN COPPER CORP/,0001001838,10-K,2015-03-02,edgar/data/1001838/0001104659-15-015406.txt
INTEVAC INC,0001001902,10-K,2015-02-17,edgar/data/1001902/0001564590-15-000735.txt
ADVENT SOFTWARE INC /DE/,0001002225,10-K,2015-02-24,edgar/data/1002225/0001047469-15-001120.txt
AMERICREDIT FINANCIAL SERVICES INC,0001002761,10-K,2015-03-31,edgar/data/1002761/0001193125-15-113355.txt
