Company Name,CIK,Ticker,CUSIP,Form Type,Date Filed,Filename
OPTICAL CABLE CORP,0001000230,OCC,,10-K,2021-12-20,edgar/data/1000230/0001437749-21-028951.txt
GEOSPACE TECHNOLOGIES CORP,0001001115,GEOS,,10-K,2021-11-19,edgar/data/1001115/0001564590-21-057727.txt
"Riley Exploration Permian, Inc.",0001001614,REPX,,10-K,2021-12-14,edgar/data/1001614/0001628280-21-025024.txt
"Nuance Communications, Inc.",0001002517,,,10-K,2021-11-18,edgar/data/1002517/0001002517-21-000052.txt
"STAR GROUP, L.P.",0001002590,SGU,,10-K,2021-12-08,edgar/data/1002590/0001564590-21-059752.txt
MSC INDUSTRIAL DIRECT CO INC,0001003078,MSM,,10-K,2021-10-20,edgar/data/1003078/0001003078-21-000199.txt
BARNWELL INDUSTRIES INC,0000010048,BRN,,10-K,2021-12-21,edgar/data/10048/0000010048-21-000026.txt
"TYSON FOODS, INC.",0000100493,TSN,,10-K,2021-11-15,edgar/data/100493/0000100493-21-000122.txt
SUBURBAN PROPANE PARTNERS LP,0001005210,SPH,,10-K,2021-11-24,edgar/data/1005210/0001564590-21-058219.txt
MOHEGAN TRIBAL GAMING AUTHORITY,0001005276,,,10-K,2021-12-16,edgar/data/1005276/0001005276-21-000022.txt
IDT CORP,0001005731,IDT,,10-K,2021-10-14,edgar/data/1005731/0001493152-21-025444.txt
"PURE BIOSCIENCE, INC.",0001006028,PURE,,10-K,2021-10-28,edgar/data/1006028/0001493152-21-026623.txt
"Cang Bao Tian Xia International Art Trade Center, Inc.",0001006840,,,10-K,2021-10-13,edgar/data/1006840/0001553350-21-000905.txt
FERRELLGAS PARTNERS FINANCE CORP,0001012493,,,10-K,2021-10-15,edgar/data/1012493/0001558370-21-013178.txt
FACTSET RESEARCH SYSTEMS INC,0001013237,FDS,,10-K,2021-10-22,edgar/data/1013237/0001013237-21-000142.txt
"Digerati Technologies, Inc.",0001014052,DTGI,,10-K,2021-10-26,edgar/data/1014052/0001213900-21-054631.txt
CIPHERLOC Corp,0001022505,SDCHD,,10-K,2021-12-21,edgar/data/1022505/0001493152-21-032215.txt
"StemGen, Inc.",0001023198,,,10-K,2021-10-15,edgar/data/1023198/0001161697-21-000489.txt
"Simulations Plus, Inc.",0001023459,SLP,,10-K,2021-10-27,edgar/data/1023459/0001683168-21-005076.txt
"ROCKWELL AUTOMATION, INC",0001024478,ROK,,10-K,2021-11-09,edgar/data/1024478/0001024478-21-000083.txt
SONIC FOUNDRY INC,0001029744,,,10-K,2021-12-09,edgar/data/1029744/0001437749-21-028230.txt
"MAXIMUS, INC.",0001032220,MMS,,10-K,2021-11-18,edgar/data/1032220/0001628280-21-023790.txt
VILLAGE SUPER MARKET INC,0000103595,VLGEA,,10-K,2021-10-14,edgar/data/103595/0000103595-21-000014.txt
PRICESMART INC,0001041803,PSMT,,10-K,2021-10-21,edgar/data/1041803/0001562762-21-000364.txt
LIVE VENTURES Inc,0001045742,LIVE,,10-K,2021-12-28,edgar/data/1045742/0000950170-21-005367.txt
"Track Group, Inc.",0001045942,TRCK,,10-K,2021-12-16,edgar/data/1045942/0001851734-21-000150.txt
TIMBERLAND BANCORP INC,0001046050,TSBK,,10-K,2021-12-08,edgar/data/1046050/0000939057-21-000347.txt
"IES Holdings, Inc.",0001048268,IESC,,10-K,2021-12-03,edgar/data/1048268/0001048268-21-000162.txt
"F5, INC.",0001048695,FFIV,,10-K,2021-11-16,edgar/data/1048695/0001048695-21-000044.txt
WD 40 CO,0000105132,WDFC,,10-K,2021-10-22,edgar/data/105132/0000105132-21-000028.txt
MARINEMAX INC,0001057060,HZO,,10-K,2021-11-19,edgar/data/1057060/0001564590-21-057762.txt
PEREGRINE INDUSTRIES INC,0001061164,,,10-K,2021-11-18,edgar/data/1061164/0001477932-21-008503.txt
AS-IP TECH INC,0001067873,,,10-K,2021-10-06,edgar/data/1067873/0001393905-21-000451.txt
RGC RESOURCES INC,0001069533,RGCO,,10-K,2021-12-02,edgar/data/1069533/0001437749-21-027683.txt
EASTON PHARMACEUTICALS INC.,0001071272,,,10-K,2021-12-22,edgar/data/1071272/0001071272-21-000003.txt
EASTON PHARMACEUTICALS INC.,0001071272,,,10-K,2021-12-22,edgar/data/1071272/0001071272-21-000004.txt
"SolarWindow Technologies, Inc.",0001071840,WNDW,,10-K,2021-11-04,edgar/data/1071840/0001171843-21-007579.txt
YUMMIES INC,0001073748,,,10-K,2021-12-23,edgar/data/1073748/0001213900-21-067186.txt
"KNOW LABS, INC.",0001074828,USBC,,10-K,2021-12-21,edgar/data/1074828/0001654954-21-013414.txt
WINNEBAGO INDUSTRIES INC,0000107687,WGO,,10-K,2021-10-20,edgar/data/107687/0000107687-21-000043.txt
BECTON DICKINSON & CO,0000010795,BDX,,10-K,2021-11-24,edgar/data/10795/0000010795-21-000091.txt
"VISIUM TECHNOLOGIES, INC.",0001082733,VISM,,10-K,2021-10-13,edgar/data/1082733/0001654954-21-011057.txt
"Woodward, Inc.",0000108312,WWD,,10-K,2021-11-19,edgar/data/108312/0001564590-21-057773.txt
"AGILENT TECHNOLOGIES, INC.",0001090872,A,,10-K,2021-12-17,edgar/data/1090872/0001090872-21-000027.txt
"Spectrum Brands Holdings, Inc.",0000109177,SPB,,10-K,2021-11-23,edgar/data/109177/0000109177-21-000058.txt
EDGEWELL PERSONAL CARE Co,0001096752,EPC,,10-K,2021-11-19,edgar/data/1096752/0001096752-21-000032.txt
DESTINY MEDIA TECHNOLOGIES INC,0001099369,DSNY,,10-K,2021-11-23,edgar/data/1099369/0001062993-21-011409.txt
"DELTA APPAREL, INC",0001101396,,,10-K,2021-11-22,edgar/data/1101396/0001437749-21-027229.txt
"CMC Materials, Inc.",0001102934,,,10-K,2021-11-12,edgar/data/1102934/0001102934-21-000052.txt
"Sonnet BioTherapeutics Holdings, Inc.",0001106838,,,10-K,2021-12-17,edgar/data/1106838/0001493152-21-031781.txt
"MERITOR, INC.",0001113256,,,10-K,2021-11-17,edgar/data/1113256/0001113256-21-000128.txt
"MODEL N, INC.",0001118417,,,10-K,2021-11-19,edgar/data/1118417/0001118417-21-000166.txt
BEACON ROOFING SUPPLY INC,0001124941,,,10-K,2021-11-19,edgar/data/1124941/0000950170-21-004791.txt
SPIRE INC,0001126956,SRJN,,10-K,2021-11-22,edgar/data/1126956/0001564590-21-057844.txt
"Digital Brand Media & Marketing Group, Inc.",0001127475,DBMM,,10-K,2021-11-05,edgar/data/1127475/0001185185-21-001609.txt
NEVADA CLASSIC THOROUGHBREDS INC,0001128383,,,10-K,2021-10-15,edgar/data/1128383/0001128383-21-000010.txt
JANEL CORP,0001133062,JANL,,10-K,2021-12-27,edgar/data/1133062/0001140361-21-042974.txt
CALAVO GROWERS INC,0001133470,CVGW,,10-K,2021-12-21,edgar/data/1133470/0001558370-21-016971.txt
"Novo Integrated Sciences, Inc.",0001138978,NVOS,,10-K,2021-12-14,edgar/data/1138978/0001493152-21-031449.txt
AMERISOURCEBERGEN CORP,0001140859,COR,,10-K,2021-11-23,edgar/data/1140859/0001140859-21-000058.txt
GLADSTONE CAPITAL CORP,0001143513,GLAD,,10-K,2021-11-15,edgar/data/1143513/0001193125-21-329867.txt
ACUITY BRANDS INC,0001144215,AYI,,10-K,2021-10-27,edgar/data/1144215/0001144215-21-000097.txt
HENNESSY ADVISORS INC,0001145255,HNNAZ,,10-K,2021-11-24,edgar/data/1145255/0001193125-21-340363.txt
"DUCK CREEK TECHNOLOGIES, INC.",0001160951,,,10-K,2021-10-29,edgar/data/1160951/0001564590-21-052973.txt
