CIK;LatestCompanyName;NameChanged;NameVariants;AllNames
0000000020;K TRON INTERNATIONAL INC;FALSE;1;K TRON INTERNATIONAL INC
0000001750;AAR CORP;FALSE;1;AAR CORP
0000001800;ABBOTT LABORATORIES;FALSE;1;ABBOTT LABORATORIES
0000001853;MotivNation, Inc.;FALSE;1;MotivNation, Inc.
0000001923;SERVIDYNE, INC.;FALSE;1;SERVIDYNE, INC.
0000001961;WORLDS INC;TRUE;2;WORLDS INC | Worlds.com, Inc.
0000002034;ACETO CORP;FALSE;1;ACETO CORP
0000002098;ACME UNITED CORP;FALSE;1;ACME UNITED CORP
0000002178;ADAMS RESOURCES & ENERGY, INC.;FALSE;1;ADAMS RESOURCES & ENERGY, INC.
0000002186;BK Technologies Corp;TRUE;3;BK Technologies Corp | BK Technologies, Inc. | RELM WIRELESS CORP
0000002488;ADVANCED MICRO DEVICES INC;FALSE;1;ADVANCED MICRO DEVICES INC
0000002491;BALLY TECHNOLOGIES, INC.;FALSE;1;BALLY TECHNOLOGIES, INC.
0000002601;AEROFLEX INC;FALSE;1;AEROFLEX INC
0000002969;Air Products & Chemicals, Inc.;TRUE;2;AIR PRODUCTS & CHEMICALS INC /DE/ | Air Products & Chemicals, Inc.
0000003116;AKORN INC;FALSE;1;AKORN INC
0000003146;SPIRE ALABAMA INC;TRUE;2;ALABAMA GAS CORP | SPIRE ALABAMA INC
0000003153;ALABAMA POWER CO;FALSE;1;ALABAMA POWER CO
0000003197;CECO ENVIRONMENTAL CORP;FALSE;1;CECO ENVIRONMENTAL CORP
0000003202;ALASKA AIRLINES INC;FALSE;1;ALASKA AIRLINES INC
0000003453;Matson, Inc.;TRUE;2;ALEXANDER & BALDWIN INC | Matson, Inc.
0000003499;ALEXANDERS INC;FALSE;1;ALEXANDERS INC
0000003545;ALICO, INC.;TRUE;2;ALICO INC | ALICO, INC.
0000003570;Cheniere Energy, Inc.;TRUE;2;CHENIERE ENERGY INC | Cheniere Energy, Inc.
0000003673;ALLEGHENY ENERGY, INC;FALSE;1;ALLEGHENY ENERGY, INC
0000003906;ALLIED CAPITAL CORP;FALSE;1;ALLIED CAPITAL CORP
0000003952;ALLIED DEFENSE GROUP INC;FALSE;1;ALLIED DEFENSE GROUP INC
0000003982;Allis Chalmers Energy Inc.;FALSE;1;Allis Chalmers Energy Inc.
0000004127;SKYWORKS SOLUTIONS, INC.;TRUE;2;SKYWORKS SOLUTIONS INC | SKYWORKS SOLUTIONS, INC.
0000004187;INDUSTRIAL SERVICES OF AMERICA INC;TRUE;2;INDUSTRIAL SERVICES OF AMERICA INC | INDUSTRIAL SERVICES OF AMERICA INC /FL
0000004281;Howmet Aerospace Inc.;TRUE;4;ALCOA INC | ALCOA INC. | Arconic Inc. | Howmet Aerospace Inc.
0000004447;HESS CORP;FALSE;1;HESS CORP
0000004457;U-Haul Holding Co /NV/;TRUE;2;AMERCO /NV/ | U-Haul Holding Co /NV/
0000004515;AMERICAN AIRLINES, INC.;TRUE;2;AMERICAN AIRLINES INC | AMERICAN AIRLINES, INC.
0000004611;AMERICAN BILTRITE INC;FALSE;1;AMERICAN BILTRITE INC
0000004811;AMERICAN CONSUMERS INC;FALSE;1;AMERICAN CONSUMERS INC
0000004828;AMERICAN CRYSTAL SUGAR CO /MN/;FALSE;1;AMERICAN CRYSTAL SUGAR CO /MN/
0000004904;AMERICAN ELECTRIC POWER CO INC;FALSE;1;AMERICAN ELECTRIC POWER CO INC
0000004962;AMERICAN EXPRESS CO;FALSE;1;AMERICAN EXPRESS CO
0000004969;AMERICAN EXPRESS CREDIT CORP;FALSE;1;AMERICAN EXPRESS CREDIT CORP
0000004977;AFLAC INC;FALSE;1;AFLAC INC
0000005117;EMTEC INC/NJ;FALSE;1;EMTEC INC/NJ
0000005133;AMERICAN GREETINGS CORP;FALSE;1;AMERICAN GREETINGS CORP
0000005272;AMERICAN INTERNATIONAL GROUP, INC.;TRUE;2;AMERICAN INTERNATIONAL GROUP INC | AMERICAN INTERNATIONAL GROUP, INC.
0000005513;Unum Group;FALSE;1;Unum Group
0000005656;AMERICAN INTERNATIONAL VENTURES INC /DE/;FALSE;1;AMERICAN INTERNATIONAL VENTURES INC /DE/
0000005768;AMERICAN SCIENCE & ENGINEERING, INC.;FALSE;1;AMERICAN SCIENCE & ENGINEERING, INC.
0000005981;AMERICAN VANGUARD CORP;FALSE;1;AMERICAN VANGUARD CORP
0000006176;AMPCO PITTSBURGH CORP;FALSE;1;AMPCO PITTSBURGH CORP
0000006201;American Airlines Group Inc.;TRUE;2;AMR CORP | American Airlines Group Inc.
0000006207;AMREP CORP.;FALSE;1;AMREP CORP.
0000006281;ANALOG DEVICES INC;FALSE;1;ANALOG DEVICES INC
0000006284;ANALOGIC CORP;FALSE;1;ANALOGIC CORP
0000006292;ANALYSTS INTERNATIONAL CORP;FALSE;1;ANALYSTS INTERNATIONAL CORP
0000006314;ANAREN INC;FALSE;1;ANAREN INC
0000006494;ANDREA ELECTRONICS CORP;FALSE;1;ANDREA ELECTRONICS CORP
0000006732;NAC GLOBAL TECHNOLOGIES, INC.;TRUE;2;LIPIDVIRO TECH INC | NAC GLOBAL TECHNOLOGIES, INC.
0000006769;APACHE CORP;FALSE;1;APACHE CORP
0000006814;COMFORCE CORP;FALSE;1;COMFORCE CORP
0000006845;APOGEE ENTERPRISES, INC.;TRUE;2;APOGEE ENTERPRISES INC | APOGEE ENTERPRISES, INC.
0000006879;APPALACHIAN POWER CO;FALSE;1;APPALACHIAN POWER CO
0000006885;STAGE STORES INC;FALSE;1;STAGE STORES INC
0000006951;APPLIED MATERIALS INC /DE;FALSE;1;APPLIED MATERIALS INC /DE
0000006955;ENERPAC TOOL GROUP CORP;TRUE;2;ACTUANT CORP | ENERPAC TOOL GROUP CORP
0000007032;ARAMARK CORP;FALSE;1;ARAMARK CORP
0000007039;TRECORA RESOURCES;TRUE;2;ARABIAN AMERICAN DEVELOPMENT CO | TRECORA RESOURCES
0000007084;Archer-Daniels-Midland Co;TRUE;2;ARCHER DANIELS MIDLAND CO | Archer-Daniels-Midland Co
0000007286;ARIZONA PUBLIC SERVICE CO;FALSE;1;ARIZONA PUBLIC SERVICE CO
0000007323;ENTERGY ARKANSAS, LLC;TRUE;2;ENTERGY ARKANSAS INC | ENTERGY ARKANSAS, LLC
