CIK;LatestCompanyName;NameChanged;NameVariants;AllNames;cusip9;cusip8;cusip_source_accession;cusip_source_form;cusip_note
0000000020;K TRON INTERNATIONAL INC;FALSE;1;K TRON INTERNATIONAL INC;;;;;No CUSIP found in recent filings searched
0000001750;AAR CORP;FALSE;1;AAR CORP;;;;;No CUSIP found in recent filings searched
0000001800;ABBOTT LABORATORIES;FALSE;1;ABBOTT LABORATORIES;BABINEAUX;BABINEAU;0001104659-25-040201;8-K;Found 1 candidate(s) in filing text
0000001853;MotivNation, Inc.;FALSE;1;MotivNation, Inc.;MIDDLESEX;MIDDLESE;0001266068-10-000058;10-Q;Found 1 candidate(s) in filing text
0000001923;SERVIDYNE, INC.;FALSE;1;SERVIDYNE, INC.;G27756020;G2775602;0000950123-11-070238;10-K;Found 21 candidate(s) in filing text
0000001961;WORLDS INC;TRUE;2;WORLDS INC | Worlds.com, Inc.;;;;;No CUSIP found in recent filings searched
0000002034;ACETO CORP;FALSE;1;ACETO CORP;;;;;No CUSIP found in recent filings searched
0000002098;ACME UNITED CORP;FALSE;1;ACME UNITED CORP;;;;;No CUSIP found in recent filings searched
0000002178;ADAMS RESOURCES & ENERGY, INC.;FALSE;1;ADAMS RESOURCES & ENERGY, INC.;A1Q202410;A1Q20241;0000002178-24-000054;10-Q;Found 1 candidate(s) in filing text
0000002186;BK Technologies Corp;TRUE;3;BK Technologies Corp | BK Technologies, Inc. | RELM WIRELESS CORP;C7BA45569;C7BA4556;0001437749-25-033457;10-Q;Found 2 candidate(s) in filing text
0000002488;ADVANCED MICRO DEVICES INC;FALSE;1;ADVANCED MICRO DEVICES INC;Q42025991;Q4202599;0000002488-26-000014;8-K;Found 1 candidate(s) in filing text
0000002491;BALLY TECHNOLOGIES, INC.;FALSE;1;BALLY TECHNOLOGIES, INC.;;;;;No CUSIP found in recent filings searched
0000002601;AEROFLEX INC;FALSE;1;AEROFLEX INC;;;;;No CUSIP found in recent filings searched
0000002969;Air Products & Chemicals, Inc.;TRUE;2;AIR PRODUCTS & CHEMICALS INC /DE/ | Air Products & Chemicals, Inc.;;;;;No CUSIP found in recent filings searched
0000003116;AKORN INC;FALSE;1;AKORN INC;EXHIBIT31;EXHIBIT3;0001628280-20-007482;10-Q;Found 1 candidate(s) in filing text
0000003146;SPIRE ALABAMA INC;TRUE;2;ALABAMA GAS CORP | SPIRE ALABAMA INC;FBC746635;FBC74663;0001437749-24-035823;10-K;Found 7 candidate(s) in filing text
0000003153;ALABAMA POWER CO;FALSE;1;ALABAMA POWER CO;;;;;No CUSIP found in recent filings searched
0000003197;CECO ENVIRONMENTAL CORP;FALSE;1;CECO ENVIRONMENTAL CORP;;;;;No CUSIP found in recent filings searched
0000003202;ALASKA AIRLINES INC;FALSE;1;ALASKA AIRLINES INC;;;;;No CUSIP found in recent filings searched
0000003453;Matson, Inc.;TRUE;2;ALEXANDER & BALDWIN INC | Matson, Inc.;KYHRPHKQ5;KYHRPHKQ;0001558370-25-001875;10-K;Found 2 candidate(s) in filing text
0000003499;ALEXANDERS INC;FALSE;1;ALEXANDERS INC;EXHIBIT23;EXHIBIT2;0000003499-25-000004;10-K;Found 3 candidate(s) in filing text
0000003545;ALICO, INC.;TRUE;2;ALICO INC | ALICO, INC.;;;;;No CUSIP found in recent filings searched
0000003570;Cheniere Energy, Inc.;TRUE;2;CHENIERE ENERGY INC | Cheniere Energy, Inc.;;;;;No CUSIP found in recent filings searched
0000003673;ALLEGHENY ENERGY, INC;FALSE;1;ALLEGHENY ENERGY, INC;;;;;No CUSIP found in recent filings searched
0000003906;ALLIED CAPITAL CORP;FALSE;1;ALLIED CAPITAL CORP;;;;;No CUSIP found in recent filings searched
0000003952;ALLIED DEFENSE GROUP INC;FALSE;1;ALLIED DEFENSE GROUP INC;C24378119;C2437811;0000950123-11-098063;10-Q;Found 19 candidate(s) in filing text
0000003982;Allis Chalmers Energy Inc.;FALSE;1;Allis Chalmers Energy Inc.;H85370112;H8537011;0000950123-11-099907;10-Q;Found 13 candidate(s) in filing text
0000004127;SKYWORKS SOLUTIONS, INC.;TRUE;2;SKYWORKS SOLUTIONS INC | SKYWORKS SOLUTIONS, INC.;JP5966199;JP596619;0000004127-26-000008;10-Q;Found 2 candidate(s) in filing text
0000004187;INDUSTRIAL SERVICES OF AMERICA INC;TRUE;2;INDUSTRIAL SERVICES OF AMERICA INC | INDUSTRIAL SERVICES OF AMERICA INC /FL;I20191112;I2019111;0000897101-19-001013;10-Q;Found 15 candidate(s) in filing text
0000004281;Howmet Aerospace Inc.;TRUE;4;ALCOA INC | ALCOA INC. | Arconic Inc. | Howmet Aerospace Inc.;013817AJ0;013817AJ;0001104659-25-105565;8-K;Found 1 candidate(s) in filing text
0000004447;HESS CORP;FALSE;1;HESS CORP;;;;;No CUSIP found in recent filings searched
0000004457;U-Haul Holding Co /NV/;TRUE;2;AMERCO /NV/ | U-Haul Holding Co /NV/;;;;;No CUSIP found in recent filings searched
0000004515;AMERICAN AIRLINES, INC.;TRUE;2;AMERICAN AIRLINES INC | AMERICAN AIRLINES, INC.;;;;;No CUSIP found in recent filings searched
0000004611;AMERICAN BILTRITE INC;FALSE;1;AMERICAN BILTRITE INC;;;;;No CUSIP found in recent filings searched
0000004811;AMERICAN CONSUMERS INC;FALSE;1;AMERICAN CONSUMERS INC;;;;;No CUSIP found in recent filings searched
0000004828;AMERICAN CRYSTAL SUGAR CO /MN/;FALSE;1;AMERICAN CRYSTAL SUGAR CO /MN/;121189319;12118931;0001104659-13-054400;10-Q;Found 7 candidate(s) in filing text
0000004904;AMERICAN ELECTRIC POWER CO INC;FALSE;1;AMERICAN ELECTRIC POWER CO INC;;;;;No CUSIP found in recent filings searched
